"Date","Benin, RETAIL, Cotonou, Maize, XOF/Kg","Benin, RETAIL, Natitingou, Maize, XOF/Kg","Benin, RETAIL, Parakou, Maize, XOF/Kg"
"03/01/2024","360","289","336"
"01/01/2024","248","201","248"
"Invalid date","300","219","280"
"11/01/2023","259","215","255"
"10/01/2023","340","275","300"
"09/01/2023","343","273","299"
"03/01/2023","235","215","253"
"01/01/2023","227","213","249"
"Invalid date","226","216","249"
"Invalid date","241","216","256"
"Invalid date","242","214","257"
"Invalid date","247","214","256"
"Invalid date","281","240","282"
"Invalid date","301","263","298"
"Invalid date","248","201","248"
"11/01/2022","195","214","243"
"10/01/2022","199","212","242"
"09/01/2022","226","209","243"
"03/01/2022","295","212","247"
"01/01/2022","282.5","224.5","247.5"
"Invalid date","299","222","246"
"Invalid date","291","212","248"
"Invalid date","291","212","248"
"Invalid date","290","215","250"
"Invalid date","266","214","251"
"Invalid date","238","210","247"
"Invalid date","224","216","250"
"11/01/2021","241.33","186.33","235"
"10/01/2021","303","227","247"
"09/01/2021","335","255","259"
"03/01/2021","253","211","245"
"01/01/2021","247","186","242"
"Invalid date","246","207","243"
"Invalid date","296","211","247"
"Invalid date","297","212","292"
"Invalid date","306","211","246"
"Invalid date","295.67","213.67","243.33"
"Invalid date","292.33","266.33","293.67"
"Invalid date","247","210","242"
"11/01/2020","246","166","218"
"10/01/2020","247","198","244.67"
"09/01/2020","243","215","250"
"03/01/2020","198","146","158"
"01/01/2020","201","150","160"
"Invalid date","193.75","146.75","157.25"
"Invalid date","199.25","153.75","170.25"
"Invalid date","201.67","159.67","174.67"
"Invalid date","213","160","183"
"Invalid date","236.25","198.25","227"
"Invalid date","240","210","247"
"Invalid date","245","155.5","215.5"
"11/01/2019","199.75","148.25","164.25"
"10/01/2019","193","128.5","145.25"
"09/01/2019","193.75","130.5","131.25"
"03/01/2019","176","140.75","164"
"01/01/2019","193.75","142.5","151"
"Invalid date","184.25","130","158.75"
"Invalid date","190","145.25","168"
"Invalid date","196.75","151.5","185"
"Invalid date","192.5","152.5","178"
"Invalid date","197.5","161.25","172"
"Invalid date","195.75","154.25","172.5"
"Invalid date","198","152","165.75"
"11/01/2018","181","156","210"
"10/01/2018","183","175","220"
"09/01/2018","209","182","231"
"03/01/2018","","",""
"01/01/2018","237.75","",""
"Invalid date","","",""
"Invalid date","177","",""
"Invalid date","221","175","259"
"Invalid date","","",""
"Invalid date","218","153","281"
"Invalid date","213","155","281"
"Invalid date","192","146","208"
"11/01/2017","","",""
"10/01/2017","219.5","",""
"09/01/2017","232.25","",""
"03/01/2017","196.75","",""
"01/01/2017","197.25","",""
"Invalid date","188.75","",""
"Invalid date","","",""
"Invalid date","244.25","",""
"Invalid date","257.5","",""
"Invalid date","242.25","",""
"Invalid date","232.5","",""
"Invalid date","","",""
"11/01/2016","","",""
"10/01/2016","","",""
"09/01/2016","","",""
"03/01/2016","221","184","252"
"01/01/2016","","",""
"Invalid date","","",""
"Invalid date","","",""
"Invalid date","","",""
"Invalid date","","",""
"Invalid date","","",""
"Invalid date","","",""
"Invalid date","173.25","",""
"11/01/2015","","",""
"10/01/2015","260","182","242"
"09/01/2015","257","184","241"
"03/01/2015","","",""
"01/01/2015","","",""
"Invalid date","","",""
"Invalid date","166","128","181"
"Invalid date","235","148","240"
"Invalid date","228","157","246"
"Invalid date","245","172","254"
"Invalid date","245","169","239"
"Invalid date","","",""
"11/01/2014","177","129","199"
"10/01/2014","182","118","173"
"09/01/2014","181","130","166"
"03/01/2014","","",""
"01/01/2014","","",""
"Invalid date","","",""
"Invalid date","","",""
"Invalid date","","",""
"Invalid date","","",""
"Invalid date","195","151","202"
"Invalid date","186","144","201"
"Invalid date","173","136","214"
"11/01/2013","","",""
"10/01/2013","","",""
"09/01/2013","","",""
"03/01/2013","231","","217"
"01/01/2013","257","","249"
"Invalid date","257","","249"
"Invalid date","","",""
"Invalid date","","",""
"Invalid date","","",""
"Invalid date","","",""
"Invalid date","","",""
"Invalid date","","",""
